Questions,Answers,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
FOMC, Federal Open Market Committee,,,,,,
M&A, mergers and acquisitions,,,,,,
What's the fucntion of The Federal Reserve System,"The Federal Reserve The Federal Reserve System is the central bank of the United States. It performs five key functions to promote the effective operation of the U.S. economy and, more generally, the public interest.                             ■ conducts the nation’s monetary policy to promote maximum employment and stable prices in the U.S. economy; ■ promotes the stability of the financial system and seeks to minimize and contain systemic risks through active monitoring and engagement in the U.S. and abroad; ■ promotes the safety and soundness of individual financial institutions and monitors their impact on the financial system as a whole; ■ fosters payment and settlement system safety and efficiency through services to the banking industry and U.S. government that facilitate U.S.-dollar transactions and payments; and ■ promotes consumer protection and community development through consumer-focused supervision and examination, research and analysis of emerging consumer issues and trends, community economic development activities, and administration of consumer laws and regulations.",,,,,,
ACL,Allowance for Credit Losses,,,,,,
AML,Anti-Money Laundering,,,,,,
ASU,Accounting Standards Update,,,,,,
BHC,Bank Holding Company,,,,,,
BSA,Bank Secrecy Act,,,,,,
BTFP,Bank Term Funding Program,,,,,,
CA,Consumer Affairs,,,,,,
CAMELS,"Capital, Asset quality, Management, Earnings, Liquidity, and Sensitivity to market risk",,,,,,
CBLR,Community Bank Leverage Ratio,,,,,,
CBO,Community Banking Organization,,,,,,
CDS,Credit Default Swap,,,,,,
CECL,Current Expected Credit Loss,,,,,,
CET1,Common Equity Tier 1,,,,,,
CFP,Contingency Funding Plan,,,,,,
CRE,Commercial Real Estate,,,,,,
C&I,Commercial and Industrial,,,,,,
FASB,Financial Accounting Standards Board,,,,,,
FBO,Foreign Banking Organization,,,,,,
FDIC,Federal Deposit Insurance Corporation,,,,,,
FFIEC,Federal Financial Institutions Examination Council,,,,,,
Fintech,Financial Technology,,,,,,
GAAP,Generally Accepted Accounting Principles,,,,,,
G-SIB,Global Systemically Important Banking Organization,,,,,,
IHC,Intermediate Holding Company,,,,,,
IT,Information Technology,,,,,,
LBO,Large Banking Organization,,,,,,
LFBO,Large and Foreign Banking Organization,,,,,,
LFI,Large Financial Institutions,,,,,,
LISCC,Large Institution Supervision Coordinating Committee,,,,,,
MRA,Matters Requiring Attention,,,,,,
MRIA,Matters Requiring Immediate Attention,,,,,,
NBA,Nonbank Assets,,,,,,
RBO,Regional Banking Organization,,,,,,
RRE,Residential Real Estate,,,,,,
SHC,Securities Holding Company,,,,,,
SLHC,Savings and Loan Holding Company,,,,,,
SLOOS,Senior Loan Officer Opinion Survey,,,,,,
SMB(s),State Member Bank(s),,,,,,
SR,Supervision and Regulation,,,,,,
U.S. G-SIB,Global Systemically Important Banking Organization Headquartered in the United States,,,,,,
wSTWF,Weighted Short-Term Wholesale Funding,,,,,,
