Questions,Answers,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
AWC,,,,,FALSE,,
AUV,,,,,FALSE,,
AMT,,,,,TRUE,,
APY,,,,,TRUE,,
AML,,,,,TRUE,,
AUM,,,,,TRUE,,
AIR,,,,,FALSE,,
ADTV,,,,,TRUE,,
CAPM,,,,,TRUE,,
COD,,,,,FALSE,,
CAGR,,,,,TRUE,,
CPI,,,,,TRUE,,
CDSC,,,,,TRUE,,
CE,,,,,FALSE,,
CNS,,,,,FALSE,,
DVP,,,,,TRUE,,
RVP,,,,,FALSE,,
DMA,,,,,TRUE,,
DCF,,,,,TRUE,,
DDM,,,,,TRUE,,
DPS,,,,,TRUE,,
DBA,,,,,TRUE,,
DCA,,,,,TRUE,,
DK,,,,,TRUE,,
DUI,,,,,TRUE,,
DWI,,,,,TRUE,,
EED,,,,,FALSE,,
FMCE,,,,,FALSE,,
FFI,,,,,TRUE,,
GTC,,,,,TRUE,,
GSEs,,,,,TRUE,,
GDP,,,,,TRUE,,
GNP,,,,,TRUE,,
GARP,,,,,TRUE,,
GMIB,,,,,TRUE,,
GMWB,,,,,TRUE,,
GMAB,,,,,TRUE,,
IOI,,,,,TRUE,,
IT,,,,,TRUE,,
IRC,,,,,TRUE,,
LOA,,,,,TRUE,,
LOI,,,,,TRUE,,
LBO,,,,,TRUE,,
LIHTC,,,,,TRUE,,
MICR,,,,,TRUE,,
MPID,,,,,TRUE,,
MNPI,,,,,TRUE,,
M&A,,,,,TRUE,,
M&E,,,,,FALSE,,
NBBO,,,,,TRUE,,
NBB,,,,,TRUE,,
NBO,,,,,FALSE,,
NAV,,,,,TRUE,,
OBA,,,,,FALSE,,
OTC,,,,,TRUE,,
POD,,,,,FALSE,,
PCE,,,,,TRUE,,
PII,,,,,TRUE,,
PPI,,,,,TRUE,,
POP,,,,,FALSE,,
REMIC,,,,,TRUE,,
RSL,,,,,FALSE,,
RMD,,,,,TRUE,,
ROA,,,,,FALSE,,
SIE,,,,,TRUE,,
SCP,,,,,FALSE,,
TIF,,,,,TRUE,,
TBE,,,,,FALSE,,
TIC,,,,,FALSE,,
TBA,,,,,FALSE,,
TAM,,,,,FALSE,,
TOD,,,,,TRUE,,
VWAP,,,,,TRUE,,
WAM,,,,,TRUE,,
WKSI,,,,,TRUE,,
WORM,,,,,TRUE,,
