abbreviations,GPT4,GPT4o,GPT3,Mistral,Llama3
EMIR ,TRUE,TRUE,TRUE,TRUE,TRUE
SFTR ,TRUE,TRUE,TRUE,TRUE,TRUE
RTS on reporting  ,TRUE,TRUE,FALSE,FALSE,TRUE
ITS on reporting  ,TRUE,TRUE,FALSE,FALSE,TRUE
RTS on registration ,TRUE,TRUE,FALSE,FALSE,FALSE
RTS on data quality ,TRUE,TRUE,FALSE,FALSE,TRUE
RTS on data access ,TRUE,TRUE,FALSE,FALSE,FALSE
RTS on organisation requirements ,TRUE,TRUE,FALSE,FALSE,TRUE
CFI code ,TRUE,TRUE,TRUE,TRUE,TRUE
CM ,FALSE,FALSE,FALSE,FALSE,FALSE
CP,FALSE,FALSE,FALSE,FALSE,TRUE
CP on RTS/ITS ,TRUE,TRUE,FALSE,TRUE,TRUE
FR on RTS/ITS ,FALSE,FALSE,FALSE,FALSE,TRUE
CPMI ,TRUE,TRUE,TRUE,TRUE,TRUE
EC,TRUE,TRUE,FALSE,TRUE,TRUE
ECB ,TRUE,TRUE,TRUE,TRUE,TRUE
EEA ,TRUE,TRUE,TRUE,TRUE,TRUE
ERR ,FALSE,FALSE,FALSE,FALSE,FALSE
ESCB ,TRUE,TRUE,FALSE,TRUE,TRUE
EU ,TRUE,TRUE,TRUE,TRUE,TRUE
FIRDS ,TRUE,TRUE,TRUE,TRUE,TRUE
FSB ,TRUE,TRUE,TRUE,TRUE,TRUE
IOSCO ,TRUE,TRUE,TRUE,TRUE,TRUE
ISIN ,TRUE,TRUE,TRUE,TRUE,TRUE
LEI ,TRUE,TRUE,TRUE,TRUE,TRUE
ISO ,TRUE,TRUE,TRUE,TRUE,TRUE
MIC ,TRUE,TRUE,TRUE,TRUE,TRUE
NCA ,TRUE,TRUE,TRUE,TRUE,TRUE
OJ ,TRUE,TRUE,FALSE,TRUE,FALSE
RSE ,FALSE,FALSE,FALSE,FALSE,FALSE
SWIFT ,TRUE,TRUE,FALSE,TRUE,TRUE
TR ,TRUE,TRUE,FALSE,TRUE,TRUE
UTI ,TRUE,TRUE,TRUE,TRUE,TRUE
XML ,TRUE,TRUE,TRUE,TRUE,TRUE
XSD ,TRUE,TRUE,TRUE,TRUE,TRUE
ESRB,TRUE,TRUE,FALSE,TRUE,TRUE
UCITS,TRUE,TRUE,TRUE,TRUE,TRUE
EBA,TRUE,TRUE,TRUE,TRUE,TRUE
EIOPA,TRUE,TRUE,TRUE,TRUE,TRUE
TFEU,TRUE,TRUE,TRUE,TRUE,TRUE
IORP,TRUE,TRUE,TRUE,TRUE,TRUE
AIF,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM,TRUE,TRUE,TRUE,TRUE,TRUE
AIFMD,TRUE,TRUE,TRUE,TRUE,TRUE
CCP,TRUE,TRUE,TRUE,TRUE,TRUE
CSD,TRUE,TRUE,TRUE,TRUE,TRUE
