abbreviations,defenitions,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
EMIR ,European Market Infrastructures Regulation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SFTR ,Securities Financing Transactions Regulation  ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
RTS on reporting  ,"Commission Delegated Regulation (EU) No 2022/1855 of 10 June 2022 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the minimum details of the data to be reported to trade repositories and the type of reports to be used",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ITS on reporting  ,"Commission Implementing Regulation (EU) No 2022/1860 of 10 June 2022 laying down implementing technical standards for the application of Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to the standards, formats, frequency and methods and arrangements for reporting and repealing Implementing Regulation (EU) No 1247/2012",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
RTS on registration ,"Commission Delegated Regulation (EU) No 150/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the details of the application for registration as a trade repository, as amended by Commission Delegated Regulation (EU) 2019/362 of 13 December 2018 5 and by Commission Delegated Regulation (EU) 2022/1857",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
RTS on data quality ,"Commission Delegated Regulation (EU) No 2022/1858 of 10 June 2022 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to regulatory technical standards specifying the procedures for the reconciliation of data between trade repositories and the procedures to be applied by the trade repository to verify the compliance by the reporting counterparty or submitting entity with the reporting requirements and to verify the completeness and TRUEness of the data reported",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
RTS on data access ,"Commission Delegated Regulation (EU) No 151/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to regulatory technical standards specifying the data to be published and made available by trade repositories and operational standards for aggregating, comparing and accessing the data, as amended by Commission Delegated Regulation (EU) 2017/1800 and by Commission Delegated Regulation (EU) 2019/361, as amended by the Commission Delegated Regulation (EU) .  2022/185",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
RTS on organisation requirements ,Commission Delegated Regulation (EU) 2017/565 of 25 April 2016 supplementing Directive 2014/65/EU of the European Parliament and of the Council as regards organisational requirements and operating conditions for investment firms and defined terms for the purposes of that Directive  ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CFI code ,Classification of Financial Instruments code ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CM ,Clearing Member ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP,Consultation paper on Guidelines on Reporting under EMIR ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CP on RTS/ITS ,"Consultation paper on the technical standards on reporting, data quality, data access and registration of TRs under EMIR REFIT9 ",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
FR on RTS/ITS ,"Final report on the technical standards on reporting, data quality, data access and registration of TRs under EMIR REFIT10 ",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CPMI ,Committee on Payments and Market Infrastructures ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
EC,European Commission ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ECB ,European Central Bank ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EEA ,European Economic Area ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ERR ,Entity responsible for reporting ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESCB ,European System of Central Banks ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
EU ,European Union ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FIRDS ,Financial Instruments Reference Data System ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FSB ,Financial Stability Board ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IOSCO ,International Organisation of Securities Commissions ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ISIN ,International Securities Identification Number ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LEI ,Legal entity identifier ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
ISO ,International Organization for Standardization ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MIC ,Market identifier code ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NCA ,National Competent Authority ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OJ ,The Official Journal of the European Union ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
RSE ,Report submitting entity ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SWIFT ,Society for Worldwide Interbank Financial Telecommunication ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
TR ,Trade repository ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
UTI ,Unique Transaction Identifier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
XML ,Extensible Mark-up Language ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
XSD ,XML Schema Definition,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESRB,European Systemic Risk Board,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
UCITS,undertaking for collective investment in transferable securities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EBA,European Banking Authority,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIOPA,European Insurance and Occupational Pensions Authority,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TFEU, Treaty on the Functioning of the European Union ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IORP, institution for occupational retirement provision ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AIF,Alternative Investment Fund,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM,Alternative Investment Fund Managers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFMD,Alternative Investment Fund Managers Directive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CCP,Central Counterparty,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSD,Central Securities Depository,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CICI,CFTC Interim Compliant Identifier,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CT,Clearing Threshold,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
EMIR,European Market Infrastructure Regulation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESMA,The European Markets and Securities Authority,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ETD,Exchange Traded Derivatives,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
FC,Financial Counterparty,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
FC+,"Financial Counterparty above the clearing threshold, as referred in Article 4a of EMIR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FX,foreign exchange,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MiFID,The Markets in Financial Instruments Directive,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MTF,Multilateral Trading Facility,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
