abbreviations,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
AIF,FALSE,TRUE,TRUE,,,
AIFM,TRUE,TRUE,TRUE,,,
AIFMD,TRUE,TRUE,TRUE,,,
CCP,TRUE,TRUE,TRUE,,,
CSD,TRUE,TRUE,TRUE,,,
CICI,FALSE,TRUE,FALSE,,,
CT,FALSE,FALSE,FALSE,,,
EMIR,TRUE,TRUE,TRUE,,,
ESMA,TRUE,TRUE,TRUE,,,
ETD,TRUE,FALSE,TRUE,,,
FC,FALSE,FALSE,FALSE,,,
FC+,FALSE,FALSE,FALSE,,,
FX,TRUE,TRUE,TRUE,,,
ITS,FALSE,FALSE,FALSE,,,
ITS on reporting to TR,FALSE,FALSE,FALSE,,,
MiFID,TRUE,TRUE,TRUE,,,
MTF,TRUE,TRUE,TRUE,,,
NCA,FALSE,FALSE,1/4 correct Answers,,,
NFC,FALSE,FALSE,FALSE,,,
NFC+,TRUE,FALSE,FALSE,,,
NFC-,FALSE,FALSE,FALSE,,,
OTC,TRUE,TRUE,TRUE,,,
Q&A,FALSE,TRUE,TRUE,,,
RTS,1/4 correct Answers,FALSE,TRUE,,,
RTS on OTC Derivatives,FALSE,FALSE,1/4 correct Answers,,,
RTS on CCP,FALSE,FALSE,FALSE,,,
RTS on Third Country contracts,FALSE,FALSE,1/4 correct Answers,,,
RTS on IRS in G4 currencies,FALSE,FALSE,FALSE,,,
SPV,TRUE,TRUE,TRUE,,,
TR,1/4 correct Answers,FALSE,FALSE,,,
UTI,1/4 correct Answers,TRUE,FALSE,,,
EMIR ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SFTR ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
RTS on reporting  ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ITS on reporting  ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
RTS on registration ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
RTS on data quality ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
RTS on data access ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
RTS on organisation requirements ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CFI code ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CM ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CP on RTS/ITS ,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
FR on RTS/ITS ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CPMI ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
EC,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ECB ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EEA ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ERR ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESCB ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
EU ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FIRDS ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FSB ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IOSCO ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ISIN ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LEI ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
ISO ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MIC ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NCA ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OJ ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
RSE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SWIFT ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
TR ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
UTI ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
XML ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
XSD ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESRB,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
UCITS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EBA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIOPA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TFEU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IORP,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AIF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFMD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CCP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CICI,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
EMIR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESMA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
ETD,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
FC,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
FC+,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FX,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MiFID,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MTF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NCA ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NFC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NFC+,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NFC-,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Q&A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RTS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SPV,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TR ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
UTI ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
DORA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
ESA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
TPP,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
TPRM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSP,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CTPPs,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
JOF,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
NIS2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PSD2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSIRTs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENISA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PSTN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
POTS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TLPT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
G-SIIs,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
O-SIIs,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
BIA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
JON,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EGBPI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RSB,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SFD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MFF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OLAF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CIISI-EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CSIRTS,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
T2S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TIPS,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
FMIs,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
SSM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TIBER-EU,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TCT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DOI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DG AGRI,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
EGTOP,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SCA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
INSEE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
RRF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SDGs,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
RP,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
EMU,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CSOs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NRRPs,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
OCS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPPO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CPSR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DCMA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ACO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,
European Acronyms, ,,,,,
US Acronyms,,,,,,
Ticker List,,,,,,
Chat bot for website accuracy,,,,,,
