Laws,GPT4,GPT4o,GPT3.5,Mistral,Llama3 1-Shot,Llama3 0-Shot
(EU) 2019/834,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 1095/2010,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
(EU) No 1247/2012,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 1248/2012,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 1249/2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
(EU) No 148/2013,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 149/2013,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
(EU) No 150/2013,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 151/2013,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 152/2013,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 153/2013,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
(EU) No 2015/2205,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 2017/2155,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
(EU) No 285/2014,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
(EU) No 648/2012,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1 of EMIR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12 of the RTS on OTC derivatives,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12(4) of the RTS on OTC derivatives,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13 of the RTS on OTC derivatives,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14 of EMIR 11(1) of RTS on CCP requirements,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14 of the RTS on OTC derivatives,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15 of the RTS on OTC derivatives,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2 of RTS on IRS in G4 currencies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2 of RTS on Third Country contracts,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2(10) and 89 of EMIR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
26 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28 of EMIR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
