phrases,definitions ,GPT4,GPT4o,GPT3,Mistral,Llama3
technical support,"‘technical support’ means measures that help national authorities to implement institutional, administrative and structural reforms that are sustainable and resilience-enhancing, strengthen economic, social and territorial cohesion and support the public administration in the preparation of sustainable and resilience-enhancing investments",TRUE,FALSE,FALSE,,
national authority,"‘national authority’ means one or more public authorities at the level of government, including those at regional and local level, as well as Member State organisations within the meaning of point (42) of Article 2 of the Financial Regulation, cooperating in a spirit of partnership in accordance with the Member States’ institutional and legal framework",TRUE,TRUE,FALSE,,
Union funds,"‘Union funds’ means the European Regional Development Fund, the European Social Fund Plus, the Cohesion Fund, the Just Transition Fund, the European Maritime, Fisheries and Aquaculture Fund, the Asylum and Migration Fund, the Internal Security Fund and the Border Management and Visa Instrument",TRUE,TRUE,FALSE,,
international organisation,‘international organisation’ means an organisation within the meaning of Article 156 of the Financial Regulation and organisations assimilated to such an organisation pursuant to that Article,TRUE,TRUE,FALSE,,
international organisation,‘international organisation’ means an organisation within the meaning of Article 156 of the Financial Regulation and organisations assimilated to such an organisation pursuant to that Article,TRUE,TRUE,FALSE,,
European Semester for economic policy coordination,‘European Semester for economic policy coordination’ or ‘European Semester’ means the process set out in Article 2-a of Council Regulation (EC) No 1466/97,TRUE,TRUE,FALSE,,
country-specific recommendations,‘country-specific recommendations’ means the Council recommendations addressed to each Member State in accordance with Articles 121(2) and 148(4) TFEU in the context of the European Semester,TRUE,TRUE,FALSE,,
the rule of law,"‘the rule of law’ refers to the Union value enshrined in Article 2 TEU. It includes the principles of legality implying a transparent, accountable, democratic and pluralistic law-making process; legal certainty; prohibition of arbitrariness of the executive powers; effective judicial protection, including access to justice, by independent and impartial courts, also as regards fundamental rights; separation of powers; and non-discrimination and equality before the law. The rule of law shall be understood having regard to the other Union values and principles enshrined in Article 2 TEU;",TRUE,TRUE,TRUE,,
government entity,"        
‘government entity’ means a public authority at any level of government, including national, regional and local authorities, as well as Member State organisations within the meaning of point (42) of Article 2 of Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council (16) (the ‘Financial Regulation’).",FALSE,TRUE,FALSE,,
selected obliged entity,"        
‘selected obliged entity’ means a credit institution, a financial institution, or a group of credit institutions or financial institutions at the highest level of consolidation in the Union in accordance with applicable accounting standards, which is under direct supervision by the Authority pursuant to Article 13",TRUE,,FALSE,,
non-selected obliged entity,"        
‘non-selected obliged entity’ means a credit institution, a financial institution, or a group of credit institutions or financial institutions at the highest level of consolidation in the Union in accordance with applicable accounting standards, other than a selected obliged entity",FALSE,,FALSE,,
AML/CFT supervisory system,‘AML/CFT supervisory system’ means the Authority and the supervisory authorities in Member States;,TRUE,,FALSE,,
non-AML/CFT authority,"        
‘non-AML/CFT authority’ means:

(a)

a competent authority as defined in Article 4(1), point (40), of Regulation (EU) No 575/2013 of the European Parliament and of the Council (27);

(b)

the European Central Bank (ECB), when it carries out the tasks conferred on it by Regulation (EU) No 1024/2013;

(c)

a resolution authority designated in accordance with Article 3 of Directive 2014/59/EU;

(d)

a designated authority as defined in Article 2(1), point (18), of Directive 2014/49/EU;

(e)

a competent authority as defined in Article 3(1), point (35), of Regulation (EU) 2023/1114.",TRUE,,FALSE,,
crypto-asset,"“crypto-asset” means a crypto-asset as defined in Article 3(1), point (5), of Regulation (EU) 2023/1114 of the European Parliament and of the Council (*8) that is not a central bank digital currency",TRUE,,FALSE,,
electronic money token,"        
“electronic money token” or “e-money token” means an electronic money token or e-money token as defined in Article 3(1), point (7), of Regulation (EU) 2023/1114;",　TRUE,,TRUE,,
crypto-asset exposure,"“crypto-asset exposure” means an asset or an off-balance-sheet item related to a crypto-asset that gives rise to credit risk, counterparty credit risk, market risk, operational risk or liquidity risk",TRUE,,FALSE,,
traditional asset,"“traditional asset” means any asset other than a crypto-asset, including:

(a)

financial instruments as defined in Article 4(1), point (50), of this Regulation;

(b)

funds as defined in Article 4, point (25), of Directive (EU) 2015/2366;

(c)

deposits as defined in Article 2(1), point (3), of Directive 2014/49/EU of the European Parliament and of the Council (*9), including structured deposits;

(d)

securitisation positions in the context of a securitisation as defined in Article 2, point (1), of Regulation (EU) 2017/2402;

(e)

non-life or life insurance products falling within the classes of insurance listed in Annexes I and II to Directive 2009/138/EC or reinsurance and retrocession contracts referred to in that Directive;

(f)

pension products that, under national law, are recognised as having the primary purpose of providing the investor with an income in retirement and that entitle the investor to certain benefits;

(g)

officially recognised occupational pension schemes within the scope of Directive (EU) 2016/2341 of the European Parliament and of the Council (*10) or Directive 2009/138/EC;

(h)

individual pension products for which a financial contribution from the employer is required by national law and where the employer or the employee has no choice as to the pension product or provider;

(i)

a pan-European Personal Pension Product as defined in Article 2, point (2), of Regulation (EU) 2019/1238 of the European Parliament and of the Council (*11);

(j)

social security schemes covered by Regulation (EC) No 883/2004 of the European Parliament and of the Council (*12) and Regulation (EC) No 987/2009 of the European Parliament and of the Council (*13);",TRUE,,FALSE,,
