abbreviations,defenitions,GPT4,GPT4o,GPT3,Mistral,Llama3
EMIR ,European Market Infrastructures Regulation,TRUE,TRUE,TRUE,TRUE,TRUE
SFTR ,Securities Financing Transactions Regulation  ,TRUE,TRUE,TRUE,TRUE,TRUE
RTS on reporting  ,"Commission Delegated Regulation (EU) No 2022/1855 of 10 June 2022 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the minimum details of the data to be reported to trade repositories and the type of reports to be used",FALSE,TRUE,FALSE,FALSE,TRUE
ITS on reporting  ,"Commission Implementing Regulation (EU) No 2022/1860 of 10 June 2022 laying down implementing technical standards for the application of Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to the standards, formats, frequency and methods and arrangements for reporting and repealing Implementing Regulation (EU) No 1247/2012",FALSE,TRUE,FALSE,FALSE,TRUE
RTS on registration ,"Commission Delegated Regulation (EU) No 150/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the details of the application for registration as a trade repository, as amended by Commission Delegated Regulation (EU) 2019/362 of 13 December 2018 5 and by Commission Delegated Regulation (EU) 2022/1857",FALSE,TRUE,FALSE,FALSE,FALSE
RTS on data quality ,"Commission Delegated Regulation (EU) No 2022/1858 of 10 June 2022 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to regulatory technical standards specifying the procedures for the reconciliation of data between trade repositories and the procedures to be applied by the trade repository to verify the compliance by the reporting counterparty or submitting entity with the reporting requirements and to verify the completeness and TRUEness of the data reported",FALSE,TRUE,FALSE,FALSE,TRUE
RTS on data access ,"Commission Delegated Regulation (EU) No 151/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories, with regard to regulatory technical standards specifying the data to be published and made available by trade repositories and operational standards for aggregating, comparing and accessing the data, as amended by Commission Delegated Regulation (EU) 2017/1800 and by Commission Delegated Regulation (EU) 2019/361, as amended by the Commission Delegated Regulation (EU) .  2022/185",FALSE,TRUE,FALSE,FALSE,FALSE
RTS on organisation requirements ,Commission Delegated Regulation (EU) 2017/565 of 25 April 2016 supplementing Directive 2014/65/EU of the European Parliament and of the Council as regards organisational requirements and operating conditions for investment firms and defined terms for the purposes of that Directive  ,FALSE,TRUE,FALSE,FALSE,TRUE
CFI code ,Classification of Financial Instruments code ,TRUE,TRUE,TRUE,TRUE,TRUE
CM ,Clearing Member ,FALSE,TRUE,FALSE,FALSE,FALSE
CP,Consultation paper on Guidelines on Reporting under EMIR ,FALSE,FALSE,FALSE,FALSE,TRUE
CP on RTS/ITS ,"Consultation paper on the technical standards on reporting, data quality, data access and registration of TRs under EMIR REFIT9 ",FALSE,TRUE,FALSE,TRUE,TRUE
